ch0,ch1,ch2,ch3
-1.42627,0.0377342,-0.0128547,0.188878
1.40328,0.261525,0.582043,-0.129965
-0.984249,-0.0159384,-1.08117,0.72177
0.893131,0.724778,-0.133402,-0.980036
-0.899366,0.0126398,0.216156,1.17049
0.885451,0.626638,0.322956,-0.495152
-0.87469,-0.0885369,-0.0940866,1.1402
0.690821,0.420343,0.187397,-1.13794
-0.680485,0.217986,-0.0630442,1.47113
0.664837,0.281347,0.0977442,-0.959922
-0.632085,-3.15458,-0.153898,1.05132
0.160442,0.878114,0.121072,-1.01006
-0.192168,0.275454,-0.145106,1.64856
0.341693,0.356612,0.0767682,-1.22952
0.304564,0.425249,-0.0618197,1.35518
-0.644731,0.484398,0.572358,-0.816262
0.661096,0.202946,0.315921,1.38526
-0.744677,0.31582,-0.0571404,-0.878229
0.669698,0.245023,0.195542,1.05451
-0.725122,0.31328,-0.124942,0.0304058
0.705828,0.244079,0.0748362,0.175711
-0.595454,0.299737,0.057835,0.48182
0.621962,0.204304,-0.0807031,-0.116907
-0.611861,1.46528,-0.196732,0.244332
0.59715,-0.187367,0.109077,0.597484
-0.587472,0.311854,-0.13993,-0.656043
0.577832,0.303412,0.470692,0.678068
-0.51859,0.329567,-0.268836,-0.0836224
0.484993,0.311439,0.0555589,0.400636
-0.477133,-0.052074,0.402616,1.01291
0.469297,0.484907,0.309541,-0.859912
-0.461705,0.290955,0.109773,1.35702
0.455771,0.792599,0.157603,-0.853484
-0.447612,0.157768,0.0877914,1.69519
0.678204,1.10201,0.169262,-1.24695
-0.667278,-0.122112,-0.817455,1.8644
1.03723,0.46411,-0.795963,-2.07886
-1.02328,0.0948502,-0.494224,1.83624
0.995789,1.20796,0.112049,-1.75596
-0.979549,-0.277471,-0.202363,2.4104
0.968164,0.363583,0.164152,-2.40196
-0.950514,0.13921,1.31307,2.25512
1.15076,0.245822,0.705019,-1.48841
-0.984212,0.0998225,0.00754484,1.92004
0.980348,0.195418,0.256838,-1.43779
-0.968265,0.204672,-0.133191,1.32018
0.952471,0.207429,0.186723,-1.05058
-0.654681,-0.679459,-0.164265,1.19056
0.645154,0.67634,-0.0985193,-3.02718
-0.859906,0.898914,-0.220276,2.93761
0.813181,0.00192053,0.0784384,-1.86073
-0.819263,0.28593,1.23744,1.62977
0.95895,0.358857,0.693267,0.861736
-0.943531,-0.256807,0.0176192,-0.110108
2.08272,0.39634,0.113639,-0.142286
-2.02066,-0.42738,-0.189123,0.552547
1.9881,-0.15917,0.246875,-1.27085
-1.96415,-0.128132,-0.114905,1.05531
2.02421,-0.156456,0.242601,-1.05115
-1.9928,-0.150021,0.278816,0.903428
