src,tgt,lag,sign
1,0,1,-1
3,1,1,1
3,2,1,-1
1,2,1,1
8,3,1,-1
3,4,1,-1
1,5,1,-1
3,6,1,-1
3,7,1,-1
8,7,1,-1
12,7,1,-1
10,8,1,-1
8,9,1,1
3,11,1,1
11,13,1,-1
12,14,1,-1
8,15,1,-1
11,16,1,1
21,17,1,1
15,17,1,1
22,17,1,-1
17,18,1,-1
17,19,1,-1
27,19,1,1
15,20,1,-1
23,20,1,-1
22,21,1,1
20,21,1,-1
25,21,1,1
23,21,1,1
33,22,1,-1
26,22,1,-1
25,22,1,-1
23,22,1,1
36,22,1,-1
20,22,1,-1
24,22,1,-1
30,22,1,1
32,22,1,1
15,23,1,1
32,24,1,-1
36,24,1,-1
20,24,1,-1
23,24,1,1
25,24,1,-1
23,26,1,-1
24,26,1,1
17,27,1,1
18,27,1,1
28,27,1,1
41,28,1,1
24,28,1,1
25,29,1,-1
24,30,1,-1
24,31,1,-1
33,31,1,-1
30,31,1,-1
30,33,1,-1
24,34,1,1
24,35,1,-1
38,35,1,-1
32,36,1,-1
36,37,1,-1
32,37,1,1
24,38,1,1
23,39,1,-1
37,40,1,-1
40,42,1,-1
37,42,1,-1
37,43,1,-1
40,43,1,1
37,44,1,1
25,45,1,1
25,46,1,-1
37,47,1,1
38,48,1,-1
37,49,1,-1
