ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49
0.1221725,0.2135658,0.6166874,0.6493494,0.5754958,0.5780135,0.629698,0.3398532,0.2856958,0.4840009,0.8392867,0.4382887,0.619962,0.1044329,0.6252763,0.2292068,0.1741725,0.3765191,0.7236688,0.392771,0.1536492,0.7151776,0.4393033,0.1180803,0.1465805,0.5414379,0.809526,0.04670312,0.381934,0.686087,0.8725765,0.4660818,0.02405961,0.342943,0.533563,0.8363454,0.6018227,0.796642,0.5312854,0.5339024,0.5805992,0.2900377,0.01672039,0.07509165,0.5380991,0.7772194,0.5828428,0.6072255,0.0460275,0.3736444
0.2145234,0.1737432,0.6688222,0.5936961,0.5296496,0.5949843,0.6699376,0.3354518,0.3815275,0.3916661,0.7272334,0.4209858,0.7192304,0.1454692,0.6358187,0.3019089,0.2431201,0.4877194,0.6206869,0.3940479,0.1871326,0.6549623,0.5472306,0.2496925,0.2859872,0.6013148,0.7290647,0.09297621,0.5176278,0.5812954,0.8096927,0.5053239,0.03307905,0.4143375,0.4818832,0.7131186,0.4548865,0.6921774,0.5549061,0.5576491,0.5102875,0.2771494,0.005771789,0.1652274,0.5612344,0.8089931,0.6524822,0.5502245,0.07016761,0.4204801
0.1570894,0.2761545,0.6567459,0.6589937,0.430924,0.6825368,0.4519252,0.2915978,0.3697322,0.2609415,0.9034276,0.3808983,0.8288599,0.2630428,0.6402987,0.2613727,0.3386239,0.4373374,0.5819379,0.5447545,0.3105226,0.5231498,0.5869448,0.3452811,0.1775396,0.5506445,0.7717133,0.2972487,0.4423313,0.5543017,0.8158882,0.4575624,0.03863678,0.3565972,0.5369432,0.6846088,0.4256995,0.6947934,0.625357,0.5968221,0.5407044,0.2664842,0.09407051,0.1152063,0.4484021,0.8006848,0.7036413,0.520422,0.1090523,0.5938944
0.2236348,0.2307426,0.5854254,0.6987964,0.2796706,0.7360094,0.5214258,0.3489054,0.4420219,0.2335133,0.8053702,0.2589209,0.6876626,0.2626975,0.5324566,0.3269821,0.5024286,0.3952226,0.6085846,0.510255,0.3071174,0.4626512,0.6156075,0.3339172,0.1761742,0.5642856,0.7706026,0.3365229,0.6237397,0.5086261,0.8228087,0.4173945,0.1231238,0.3707561,0.5649175,0.5128967,0.311533,0.6219649,0.757172,0.6679109,0.4821956,0.3102153,0.03622617,0.1271124,0.3679904,0.8488128,0.7863904,0.5133368,0.1442141,0.7134424
0.2584748,0.2847334,0.5596822,0.7910445,0.2831108,0.7302404,0.504441,0.3777651,0.4685853,0.1766478,0.7960885,0.2968814,0.7233551,0.3570293,0.5503195,0.2940049,0.4944683,0.4573865,0.5448483,0.4389299,0.4342384,0.4663276,0.6072115,0.406337,0.2549065,0.6126779,0.8477393,0.2935266,0.5948929,0.5828182,0.6793106,0.4617751,0.04242855,0.3901995,0.535727,0.4463252,0.259454,0.5496254,0.7251449,0.7327765,0.4106337,0.2197117,0.1645409,0.1819326,0.3420048,0.749109,0.8808791,0.5117962,0.1805406,0.7364498
0.2945324,0.3450156,0.4991017,0.818484,0.1786468,0.7846171,0.4851165,0.3529516,0.4921278,0.1691907,0.9124399,0.3296494,0.7691581,0.468757,0.5226001,0.4310249,0.567627,0.5077183,0.5057892,0.4431038,0.4135757,0.3832766,0.6748431,0.4484497,0.2062221,0.5012441,0.7989464,0.3353937,0.7601815,0.5885699,0.6951171,0.3555964,0.03316598,0.3351695,0.5250342,0.4987373,0.2444941,0.4939723,0.7498522,0.7139628,0.368135,0.2938347,0.1529577,0.1646469,0.2659152,0.8344181,0.7622478,0.4754832,0.1302396,0.6789807
0.1463946,0.4010591,0.4543537,0.7144141,0.1220133,0.8128864,0.4081036,0.4064651,0.4538369,0.1254943,0.8635368,0.3001695,0.8759128,0.3818287,0.6022309,0.4179756,0.5695561,0.3745754,0.5866235,0.4398403,0.4775998,0.4503196,0.7241603,0.4234584,0.1690805,0.5698653,0.7328727,0.3994346,0.7121877,0.6032667,0.7356486,0.4402862,0.05067983,0.468502,0.5489995,0.317823,0.1037198,0.4640921,0.7720172,0.7235795,0.4971273,0.2618664,0.1437403,0.1705131,0.2779731,0.7426341,0.8216949,0.4253501,0.1742513,0.8206843
0.2897648,0.4352097,0.5632897,0.7771714,0.1100244,0.6702545,0.4385515,0.2671323,0.4378875,0.08220922,0.7606051,0.2627045,0.744714,0.4337207,0.5681512,0.3287935,0.6514673,0.3932125,0.5299212,0.3834843,0.4582801,0.3089258,0.6988071,0.4912293,0.1671405,0.5075794,0.7930046,0.4076797,0.7448598,0.5039073,0.7069321,0.4720358,0,0.4086912,0.5136856,0.3172801,0.07344872,0.4301476,0.8500279,0.7408963,0.4299501,0.2042073,0.167136,0.2086328,0.2904055,0.8203109,0.853695,0.4932473,0.1733129,0.7966467
0.2705695,0.382121,0.5651718,0.7511172,0.1143281,0.7754253,0.3640147,0.364647,0.5281918,0.05104177,0.820789,0.2195048,0.8699158,0.4282727,0.5355651,0.4357669,0.7546354,0.4503158,0.5058959,0.3931569,0.4520871,0.4851153,0.7180126,0.4817638,0.07275879,0.5462847,0.676748,0.3785815,0.7826859,0.5140539,0.7549459,0.4291242,0.08842035,0.4089255,0.4602421,0.3390269,0.08497095,0.5289237,0.8821586,0.6927266,0.3151699,0.1812935,0.1908752,0.298362,0.3032844,0.8453286,0.844257,0.4892583,0.275157,0.7047363
0.2874542,0.3204969,0.4217846,0.830757,0.05729872,0.8115289,0.4807559,0.3556311,0.4608308,0,0.9149793,0.180778,0.730571,0.4434552,0.4475061,0.3667513,0.7490309,0.407829,0.4416492,0.4316586,0.4734428,0.3617691,0.616132,0.5149871,0.2125848,0.5504662,0.7187971,0.434503,0.8020011,0.5490711,0.7204519,0.4869875,0.03447949,0.3799317,0.5119563,0.1677602,0.07001457,0.4978885,0.7710575,0.8049791,0.4365835,0.2372044,0.2125852,0.1324294,0.2107426,0.8507196,0.8802239,0.4545484,0.1600709,0.7802546
0.2043879,0.4105622,0.4481293,0.8221346,0.04296262,0.8488672,0.436074,0.4159182,0.4687782,0.07470676,0.8463788,0.2217726,0.8164912,0.4131312,0.5095997,0.3452227,0.6832606,0.3906531,0.4580923,0.4235354,0.4875533,0.4019065,0.7092592,0.5729812,0.1804086,0.558086,0.7400276,0.4258451,0.7676235,0.5808155,0.8011892,0.4342575,0.03474029,0.3749804,0.518549,0.1712754,0.1043385,0.4940225,0.8451206,0.8347601,0.3866301,0.2588522,0.198699,0.1750748,0.1828568,0.8518187,0.796681,0.5021862,0.1434093,0.749513
0.2923123,0.4309497,0.4733003,0.7359223,0.05922886,0.8593352,0.3484508,0.4369373,0.3834871,0.07768738,0.8579599,0.1844476,0.9413365,0.4799369,0.5133525,0.3998911,0.7390717,0.4508715,0.3695022,0.4596353,0.4479433,0.3587404,0.6811066,0.4693978,0.1638138,0.5244018,0.6788756,0.3906496,0.8438366,0.5526102,0.7546712,0.4260375,0.03844009,0.3693852,0.480271,0.1150462,0.1119409,0.4792524,0.8537506,0.7717401,0.3770224,0.2920269,0.2209271,0.1622123,0.2404145,0.8632203,0.8160493,0.3857831,0.213587,0.7468324
0.3169805,0.3517939,0.4941664,0.8315021,0.1022313,0.8789052,0.3523778,0.332751,0.528673,0.07704952,0.9246382,0.1394435,0.8066977,0.5075665,0.4931122,0.3895088,0.8363202,0.4870543,0.5053697,0.5062593,0.4577222,0.421257,0.7129648,0.4950918,0.1723767,0.533602,0.7936087,0.5037163,0.9001371,0.5400733,0.7243204,0.4495739,0,0.402059,0.525033,0.1645118,0.05482343,0.4710435,0.8607589,0.7875721,0.38406,0.2152102,0.22627,0.1175734,0.2491843,0.7528944,0.8711099,0.3737741,0.157305,0.8546571
0.2480717,0.4074275,0.4652972,0.863894,0.0545432,0.8296136,0.3630814,0.4070328,0.4686466,0.1639332,0.8583606,0.2216503,0.7412515,0.4352291,0.378926,0.4066327,0.8516374,0.4671802,0.4534471,0.4267905,0.4743282,0.3836477,0.6941987,0.4951679,0.1606953,0.4947537,0.6421344,0.4665861,0.7516722,0.5714107,0.7216294,0.4145406,0.0609027,0.4507224,0.5216125,0.1956985,0.1006201,0.414111,0.8153149,0.8022008,0.3117826,0.2092905,0.1830415,0.2059498,0.2363459,0.8249192,0.8945982,0.444238,0.1519738,0.7475448
