ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,ch65,ch66,ch67,ch68,ch69,ch70,ch71,ch72,ch73,ch74,ch75,ch76,ch77,ch78,ch79,ch80,ch81,ch82,ch83,ch84,ch85,ch86,ch87,ch88,ch89,ch90,ch91,ch92,ch93,ch94,ch95,ch96,ch97,ch98,ch99
0.1674495,0.7120062,0.8387249,0.7337317,0.05252899,0.7447739,0.3648527,0.6591111,0.3598382,0.4231081,0.2128984,0.09633604,0.8049042,0.5401438,0.208567,0.5785329,0.5272085,0.727111,0.3661394,0.7100754,0.3398271,0.5338604,0.7947534,0.4456794,0.6946512,0.7874389,0.578105,0.1751601,0.6025961,0.4581297,0.6532169,0.4057288,0.5344728,0.2043989,0.3817856,0.7112413,0.2623133,0.6285025,0.7563203,0.5317817,0.6536779,0.1509655,0.5547551,0.5750452,0.01135181,0.7180387,0.5979581,0.1775689,0.3537095,0.1792273,0.6924456,0.01016652,0.1193684,0.2175314,0.4213698,0.3198274,0.2368861,0.3098446,0.5255778,0.4764723,0.4020452,0.8618558,0.2056205,0.01986538,0.5151727,0.2558993,0.6063595,0.3786049,0.2314599,0.3701518,0.8258205,0.5318575,0.5513108,0.5912943,0.2283047,0.2447294,0.3596677,0.5443035,0.6214007,0.4498871,0.3207258,0.3863638,0.7316702,0.445583,0.8942019,0.006221965,0.6153606,0.7143408,0.27383,0.03466783,0.5564536,0,0.3037771,0.3423652,0.6781273,0.1404432,0.1443042,0.1141854,0.4151687,0.6863765
0.3338707,0.6866457,0.6891677,0.7898498,0.1549096,0.6076663,0.3627939,0.6092035,0.4380674,0.1615196,0.1897857,0.09976408,0.7550898,0.3469431,0.2325897,0.4422097,0.3840215,0.6854072,0.4178274,0.6659974,0.2832889,0.4169914,0.7144017,0.4596286,0.7254373,0.7293221,0.6623383,0.1335306,0.6476069,0.3741406,0.6361849,0.2937556,0.5577467,0.2470018,0.3737449,0.6629375,0.1779669,0.7151291,0.6550388,0.6008631,0.5358195,0.257704,0.4327504,0.4533617,0.2660606,0.766416,0.6365489,0.1183148,0.2514701,0.1404771,0.6450099,0.1113655,0.2782139,0.3261013,0.4125603,0.2716072,0.1848258,0.1891213,0.5187351,0.4697128,0.4059505,0.6689705,0.2572964,0.1686464,0.4787072,0.4234167,0.53897,0.3572425,0.2588614,0.2802856,0.7994636,0.4475423,0.634354,0.5009427,0.1995075,0.3183935,0.1745155,0.6061999,0.597522,0.5685928,0.3932315,0.5351193,0.7139125,0.4158561,0.8145815,0.09484243,0.6664964,0.6790313,0.3446849,0.0196142,0.4905771,0.09328586,0.3288751,0.3544851,0.4775806,0.1110586,0.3098159,0.1709252,0.3386952,0.5835208
0.4308993,0.6794236,0.6857883,0.7092406,0.3474709,0.4357885,0.3462785,0.5299805,0.3342477,0.1778544,0.1152578,0.05531802,0.7701428,0.4419715,0.3268987,0.242688,0.4224791,0.8032002,0.4611154,0.7191704,0.3484848,0.4624556,0.6500546,0.4359146,0.6346079,0.6538702,0.6611302,0.1899188,0.6718061,0.3107581,0.728095,0.1844654,0.5341532,0.2578218,0.446478,0.500666,0.2522567,0.7729905,0.7827915,0.6320146,0.5142279,0.09055163,0.3686207,0.417916,0.4012558,0.7790189,0.6431955,0.0720996,0.198684,0.2315728,0.6162313,0.2434917,0.3586914,0.3771618,0.4262713,0.3125871,0.3234997,0.2275485,0.6088435,0.5685271,0.3291859,0.710551,0.275855,0.09157912,0.406546,0.5068016,0.4669514,0.3373665,0.2396451,0.3264764,0.7458944,0.4540463,0.7055964,0.471716,0.1740611,0.3446924,0.1723336,0.7201954,0.5253106,0.6976692,0.3890326,0.5200603,0.6121501,0.2797012,0.7751089,0.2028233,0.6625217,0.7352256,0.3563074,0.06166314,0.358132,0.1137587,0.3987006,0.2899605,0.3927985,0.1279448,0.4955444,0.1991336,0.2399961,0.4429858
0.5031587,0.7275421,0.6554568,0.8130185,0.3568322,0.3776392,0.3997065,0.4742009,0.4072817,0.1282575,0.02252549,0.1009465,0.742305,0.2605154,0.3304626,0.2513882,0.2432501,0.6882803,0.3816326,0.7835587,0.3558582,0.4387463,0.5565757,0.5130449,0.749538,0.6521021,0.6602511,0.1523897,0.7171651,0.2243077,0.7433864,0.1251172,0.5703817,0.3265857,0.4135291,0.3944968,0.1398896,0.7712761,0.740733,0.7049891,0.5800989,0.1789159,0.2552269,0.4364799,0.4734351,0.8793924,0.5807067,0.2073266,0.1602912,0.2088596,0.5096068,0.3154093,0.4414512,0.4185941,0.479166,0.4098315,0.3633807,0.2197108,0.5935642,0.6651639,0.3661752,0.7439276,0.2785633,0.2135453,0.425619,0.5349355,0.5772327,0.3604425,0.2949947,0.4109583,0.7561983,0.3815156,0.6426795,0.4716536,0.1681283,0.3580216,0.07924031,0.7122267,0.5280584,0.7367905,0.2934375,0.5118071,0.697483,0.3581563,0.7548295,0.2154144,0.6701003,0.8085136,0.3483329,0.1116232,0.3052059,0.1298779,0.3537101,0.1984938,0.3133682,0.1749722,0.6340774,0.2572751,0.305232,0.368865
0.5016264,0.6719227,0.5962467,0.8767498,0.3582951,0.3805301,0.43019,0.4453142,0.4406501,0.1372965,0.1086569,0.1377546,0.7693458,0.3119312,0.3392785,0.2815486,0.2659079,0.835358,0.3965716,0.7558305,0.3668748,0.486952,0.4509966,0.3825043,0.7263619,0.5570821,0.7675629,0.1984334,0.6788936,0.1810928,0.7430701,0.03518365,0.56247,0.2923426,0.4582777,0.3354617,0.2164139,0.7773996,0.7681984,0.692568,0.5308523,0.03690181,0.2480264,0.4638528,0.5611795,0.8390739,0.4581921,0.06096305,0.1771837,0.1766796,0.5689404,0.3636838,0.443934,0.4043192,0.4445595,0.3894079,0.4031404,0.2318631,0.600077,0.6681365,0.3696009,0.7412695,0.3538793,0.1116839,0.3257267,0.6543629,0.5560597,0.4600739,0.4023409,0.4302909,0.8260556,0.2843239,0.5773314,0.3757448,0.149082,0.3900114,0.1277281,0.8014026,0.4652558,0.7083294,0.2868653,0.5244117,0.7331098,0.2130941,0.8566254,0.3095566,0.7426797,0.7511675,0.3265062,0.07661618,0.2483382,0.1806747,0.4397154,0.294542,0.2465492,0.1788201,0.7383169,0.3171583,0.2848515,0.2762047
0.7062144,0.6984219,0.5410848,0.7585548,0.3447979,0.3973691,0.4858414,0.3513989,0.4531364,0.03186289,0.05514118,0.0968883,0.9224725,0.1503184,0.3423686,0.3177888,0.2371183,0.7719616,0.4982934,0.7444328,0.4870163,0.4174252,0.4510605,0.3286504,0.7371491,0.5850875,0.8197978,0.2002343,0.7862877,0.2873921,0.708772,0.06156483,0.5317709,0.341921,0.5849676,0.3330218,0.2261996,0.7790703,0.7447306,0.7304044,0.5149506,0.1300112,0.2412295,0.4991011,0.7294785,0.8274464,0.6015964,0.09446922,0.09718666,0.2140539,0.5805687,0.4647964,0.4652865,0.4082484,0.3430967,0.4101337,0.3604741,0.1802377,0.621451,0.6564965,0.3481194,0.6640368,0.3814612,0.2030088,0.3912273,0.6349096,0.5270797,0.4949633,0.3784097,0.4296561,0.7932189,0.229674,0.577735,0.422307,0.0641126,0.3821227,0.06712777,0.7508122,0.5841108,0.7872397,0.420549,0.5740147,0.6414018,0.1704958,0.8311682,0.2948396,0.7243416,0.7725664,0.2754841,0,0.1485377,0.1519533,0.2596701,0.230154,0.2280836,0.1753603,0.71505,0.2449353,0.278787,0.2198295
0.6944517,0.6635507,0.5601411,0.8464773,0.4195627,0.3589971,0.3835212,0.3974777,0.4111977,0.05493112,0.07105873,0.1067775,0.8648813,0.2003133,0.3888718,0.3132751,0.156552,0.8368624,0.420655,0.7492718,0.4856286,0.4806162,0.495694,0.4193179,0.7781898,0.5216835,0.772406,0.1035144,0.7403608,0.1775835,0.7476029,0.1412369,0.546422,0.2822709,0.5768232,0.3862092,0.2341792,0.7844889,0.8665592,0.7133762,0.5296231,0.06633779,0.1947931,0.3717609,0.718727,0.8262357,0.5016273,0.02867575,0.08823252,0.2430898,0.5733327,0.5353059,0.4662252,0.4245776,0.4769215,0.443022,0.3820474,0.2234362,0.6130923,0.7340198,0.4217698,0.6759375,0.3905643,0.2083314,0.3659177,0.7929407,0.4961578,0.3478734,0.3614303,0.3722848,0.8093718,0.1110507,0.6690037,0.3368485,0.1205205,0.3592011,0,0.7751211,0.5672966,0.8379461,0.36175,0.6236702,0.7184521,0.136669,0.879085,0.3411253,0.686379,0.7875877,0.384111,0.05547055,0.2552655,0.153513,0.3967043,0.2144023,0.225246,0.1025499,0.7370267,0.3017386,0.1771985,0.2381091
0.7634246,0.8016776,0.5383,0.8353752,0.3529074,0.3598278,0.453192,0.3900539,0.3385096,0.008461533,0.06814738,0.07966876,0.8686698,0.2143179,0.4016362,0.2844645,0.1294538,0.8903345,0.4219638,0.9400004,0.4475686,0.3899826,0.4729574,0.466667,0.7269782,0.5624374,0.8277662,0.134746,0.7837691,0.1490381,0.7008315,0.07824119,0.5390733,0.2984468,0.56727,0.4181847,0.2009177,0.8094938,0.7779197,0.8042514,0.5729536,0.01693286,0.1658149,0.4672084,0.7460477,0.8521776,0.4912404,0,0.06583276,0.2179187,0.5870526,0.5488195,0.5774727,0.4461694,0.4254912,0.4085211,0.3788275,0.2355601,0.6673855,0.7961968,0.430977,0.6787021,0.5395634,0.1494998,0.2932267,0.7129897,0.4673628,0.4500635,0.3375981,0.3673922,0.851486,0.1525256,0.6339033,0.3899213,0.09245621,0.4120831,0.04264528,0.7596875,0.5477538,0.8179639,0.424882,0.5805615,0.6084437,0.2012952,0.8748026,0.3086221,0.7617356,0.8646487,0.4166381,0.01788238,0.1161378,0.1416637,0.3179045,0.1931733,0.1466384,0.1457711,0.8528133,0.2749054,0.1148088,0.07838758
0.6571955,0.7796105,0.5522448,0.8472968,0.4246847,0.4230819,0.3992578,0.4466623,0.4181379,0,0.09500052,0.0925746,0.8866327,0.2073317,0.4330829,0.3359984,0.2312342,0.8191988,0.436334,0.7670041,0.3895846,0.4902486,0.4831552,0.4395392,0.8088591,0.5786312,0.7846865,0.2305447,0.833634,0.1282592,0.6693961,0.08408971,0.5905586,0.3627222,0.5269495,0.3344167,0.258759,0.8036215,0.8839726,0.7759958,0.6203542,0.1013572,0.09134287,0.4196859,0.7385249,0.8358281,0.5112425,0.04647962,0.05570325,0.1541711,0.5364128,0.5270179,0.4765247,0.3980136,0.4604238,0.4704053,0.3222034,0.1800259,0.7329007,0.7915769,0.3288674,0.7003606,0.3995189,0.1180608,0.2193411,0.7657068,0.4953527,0.4154405,0.3432994,0.3807561,0.8947861,0.1385664,0.6918337,0.3430202,0.07073172,0.3968532,0,0.6733042,0.5908449,0.8090087,0.3353178,0.5150294,0.6159713,0.1736152,0.832157,0.3577342,0.8583985,0.8747882,0.3884443,0,0.1509743,0.06797881,0.3171293,0.3010119,0.1889133,0.1888912,0.8492895,0.2063001,0.1798511,0.1253738
0.7490643,0.802199,0.521409,0.8214628,0.4555589,0.4631211,0.4882008,0.3979484,0.4596296,0.07976474,0.08535707,0.1034386,0.8416897,0.1907368,0.339267,0.2867262,0.08811085,0.8243683,0.4090632,0.8056684,0.4453091,0.4106081,0.4278244,0.3755043,0.8087708,0.533275,0.8179141,0.2147427,0.8382171,0.1611345,0.766917,0,0.5315778,0.2069831,0.5927061,0.3746774,0.2495339,0.8426275,0.8493683,0.8481197,0.5471961,0.03573984,0.09127877,0.5136101,0.736423,0.9136884,0.5205784,0.0813916,0.05756959,0.2130181,0.574914,0.5824899,0.5031392,0.2755371,0.4244054,0.5063938,0.421641,0.1803279,0.6469359,0.8436823,0.3068556,0.6460452,0.3452159,0.09370937,0.2311646,0.7935957,0.5649971,0.4003315,0.3803137,0.2706818,0.8830483,0.07857464,0.6117007,0.203299,0.07706314,0.4441761,0.05670184,0.7547609,0.6076881,0.7847924,0.3817893,0.5698209,0.6733941,0.08152699,0.858214,0.3402829,0.7742205,0.86735,0.351218,0.06872471,0.1737715,0.1229767,0.3625999,0.2112229,0.2589414,0.2453171,0.8427845,0.2651672,0.08992693,0.08788926
