ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24
0.1299995,0.9915864,0.4905345,1.030064,0.4449782,1.208354,0.8275433,1.33801,0.753217,0.5416189,0.4723597,0.6128057,0.824279,0.1653113,-0.04534854,-0.08952845,0.5079556,0.9881393,0.9879015,0.3104245,-0.0296296,0.3714619,0.1303855,-0.2879571,-0.7570968
0.1177287,-0.3039721,-1.082923,-1.509053,-0.07150383,-0.6064599,-0.07183477,-0.6699497,-0.265233,-0.1687109,-1.492968,-0.02073922,-0.7010964,-0.805655,-1.400759,-0.5325795,-1.216085,-0.3666643,-0.7149594,-2.428317,-0.5485786,-0.3363708,-1.318077,-0.4809765,-0.5673418
-0.9909324,-1.090502,-0.730285,0.3085312,0.3454681,-0.3395296,-0.4340693,-0.4213146,-0.423193,-0.8317372,0.08163375,-0.2534654,-0.709461,-0.567785,-1.23761,-0.5728415,-1.228959,-0.5790462,-0.3790451,-0.04557712,-0.4822226,-0.6285505,-1.392546,0.382463,-0.5508814
1.940631,2.009416,1.683663,0.6866458,1.794349,2.271081,0.5926487,1.671531,1.814978,2.17595,1.870505,1.406451,2.027408,1.400461,2.131461,1.880062,1.069166,1.698703,1.71443,1.913861,1.524978,1.675525,1.758034,2.211056,1.526384
0.788248,0.09330171,-0.03204474,0.8363474,0.6167358,-0.2000574,0.4968538,0.5421842,-0.556662,1.290336,0.5833119,0.3473114,0.3502616,0.6952545,1.117156,-0.2389185,0.4534638,0.08907211,0.07473424,0.1031553,-0.6600116,-0.6112798,1.339315,0.2568712,-0.5105811
-0.2466839,0.3290115,-0.08443069,0.5352042,0.9138491,0.1694234,0.542417,0.501262,-0.212934,0.8750136,-0.1847084,0.6304709,0.6734899,0.4855807,0.3980794,-0.3567756,0.1608965,0.4178271,0.4017334,1.130804,-0.2984565,0.2030512,0.4626308,0.5037173,0.7876387
1.562815,1.279281,0.9627999,0.4327334,1.051222,1.115116,0.8945024,1.311082,0.355459,1.06416,0.7175312,0.8488904,0.705357,0.9845034,1.538777,1.068915,1.897709,0.6936951,0.3459159,0.05656928,0.368593,0.3154365,1.037143,1.012157,0.9646721
1.525198,0.7101197,1.688102,1.413803,1.010996,0.6620125,0.955421,1.235506,1.467717,1.219007,0.8884526,0.6044088,0.6903634,1.067245,1.760256,0.811865,0.8171691,1.019406,1.450245,1.539475,-0.2667653,0.5284967,0.1889413,0.5737233,0.8252999
-0.6366845,-0.3578864,-0.4576622,-0.43048,-0.3181962,-0.5007902,0.2890149,-0.3768532,-0.488656,-0.6695293,-0.1345832,-0.3481944,-0.9524557,-0.1896331,-1.282639,-0.909569,-1.08997,-0.8383414,0.1350172,-0.3150764,-1.042309,-0.879077,-0.4381089,-1.569709,-0.2633628
-0.6790147,-0.9016799,-0.2889709,-0.4664997,-0.2828539,-0.8872784,-0.104595,-0.151863,-1.389828,-0.5764548,-0.993026,-0.04442091,-1.208968,-0.02712669,-1.415671,-1.44197,-0.9430813,0.0879493,-0.000981878,0.5906987,-1.525699,-0.9088883,-1.194831,-0.8210204,-1.005369
