ch0,ch1,ch2,ch3,ch4
-1.6869,-1.2841,-0.67603,-2.5601,-1.0542
-0.73027,-0.55486,-2.5543,-0.52634,1.1009
-1.262,-0.78184,-0.73326,-0.89806,0.088593
2.7064,-2.3766,-0.93296,-0.095345,-2.0087
3.4483,0.052548,1.3728,-1.4782,-0.97637
0.87176,0.94902,4.942,2.9906,0.44307
-3.3117,-0.2616,2.8264,-0.26297,-0.42658
2.7678,2.3861,-2.8025,-0.26937,0.52116
4.7037,1.1523,-1.6092,0.22473,1.2705
-1.6463,-0.092809,1.4699,3.3859,4.0677
-3.596,1.149,-1.0799,4.8931,4.4119
-2.986,4.0114,1.3715,2.347,1.8667
0.92564,4.775,1.8137,-3.1334,-3.3908
3.1752,1.4593,1.1841,-1.5521,-5.2574
-0.44375,2.2921,2.5659,2.9241,-0.063091
-4.3574,1.0954,3.002,2.2051,-0.42196
2.4392,-3.5634,-1.6111,0.77993,2.1809
0.051789,-1.447,-0.14458,0.77648,0.69399
-1.9673,-3.2605,2.4611,-1.5264,-2.8333
-1.9191,-2.58,-2.4419,-4.0706,-2.5041
0.41756,-2.5512,-6.1671,-1.3815,1.8109
2.0069,-1.9428,-2.3964,1.3898,4.0647
-2.2731,-2.4899,-0.9006,1.8375,-0.141
-1.4752,-2.6173,2.5494,-2.2096,-5.5578
-2.8823,-3.5652,-2.1435,-3.7002,-3.5504
1.5989,2.0731,-4.1551,-5.431,-1.4231
1.0516,3.0885,-2.6091,-1.3185,-0.67253
-1.215,3.6055,0.55882,0.4678,-1.9696
0.48359,3.7787,3.1862,-0.11435,4.0009
5.2214,0.33408,0.77535,-0.35673,5.1092
5.0459,3.0376,-3.3422,-0.64355,0.32243
2.1373,2.3572,-0.95804,0.16554,-2.5367
-0.35375,-3.9582,-2.8952,-1.2997,-0.15749
-4.9717,-2.0185,0.20684,-1.2463,1.931
-2.6214,-3.5837,-0.2734,0.64437,1.8133
-1.5746,-1.224,-0.23466,3.255,-2.5412
-0.80033,1.6421,-1.1737,0.19531,-2.5182
-1.7819,1.066,2.3451,-0.074746,-1.3544
-1.5156,-3.6855,0.53435,-0.081549,-0.38146
0.88417,-2.7284,0.38479,-0.82327,1.1216
-0.27801,-0.34539,1.0404,0.94602,3.1653
2.3072,1.7798,6.506,3.2549,1.9304
-0.54398,-0.69442,3.7644,1.0697,-0.41472
-2.6407,-1.6477,-2.1331,0.56762,-1.531
-0.16144,-1.2183,-3.9498,1.2138,-0.7183
0.43341,0.076261,2.8051,1.7027,-0.011011
0.76011,-0.82982,0.015689,-1.3315,1.5199
1.2558,-0.67192,1.2609,0.55549,2.4711
4.4964,0.90084,4.618,1.5088,2.1268
5.4044,2.7907,-0.33536,0.48435,3.9849
1.2467,3.9981,-1.1312,4.709,2.6278
2.0242,3.8953,-0.20349,-1.5603,-2.1898
-2.5331,-0.75637,-2.2148,-0.37204,-2.9972
-3.6131,0.60401,-0.45932,-2.3141,-1.0859
-0.92316,3.8838,1.0805,-0.61745,-0.76984
-2.0956,3.85,0.41137,-0.93514,-1.7231
1.1653,-0.9161,-1.1006,0.019806,-0.95989
-0.83531,-3.1782,-2.1867,2.9851,0.87595
-0.12109,-1.3686,0.74998,-2.0022,1.555
1.9288,-2.5006,0.5418,-1.3617,2.8703
1.3392,3.31,2.4366,0.32068,-0.76407
-0.66034,-0.87223,4.1949,-0.10204,-1.9874
-1.9578,-1.4103,0.61157,-1.6219,-0.39796
-2.1474,-1.4997,-2.3886,-1.1526,4.1884
-0.40977,-2.3335,-3.1516,-2.3847,1.9132
0.2352,0.88168,-2.0008,-1.4941,-3.5439
2.9302,1.0207,-0.8724,1.3073,-2.9087
0.14181,-0.077583,-2.502,3.3566,-0.33871
-1.5949,-0.60291,1.4815,1.0611,-2.6301
-0.18696,-0.97553,0.81525,-0.47129,-2.1281
-1.1053,-0.51746,2.1328,3.6169,1.3229
0.26371,3.2786,6.0897,4.2893,1.2624
0.87379,3.5873,3.2715,-2.1734,-1.5732
-0.066701,1.2852,-2.4049,-4.9926,-5.0128
0.68573,-2.2576,-3.0538,-2.2763,-1.0336
2.7765,3.7594,0.028363,-3.0354,0.23335
3.7962,4.1242,2.0395,-1.3548,4.3502
3.1389,2.6478,2.1928,1.5661,3.9837
-3.2774,1.1309,1.599,0.83917,2.0008
-2.3091,-4.0817,-1.474,-0.29946,1.3101
1.1446,-2.7397,0.59647,0.44907,0.89576
0.30037,-1.7021,-3.4812,-2.5881,-4.9008
-1.5645,-2.6063,-4.223,-0.62066,-1.5426
-2.2972,-1.9657,-3.9923,-0.087721,-3.3343
-0.88314,1.7712,-1.7939,0.49506,-2.2141
0.81677,-1.9983,-1.0472,4.4184,0.52021
2.5065,-0.30583,-0.15687,-0.4275,0.406
-0.046444,-0.35548,-4.2742,-2.7633,-1.3366
-2.4396,2.2531,-0.78603,-0.62296,2.1262
-2.0411,2.3185,-1.4343,-0.068176,-1.4526
-1.6173,-1.1781,-0.3458,-1.5408,-3.3958
1.0635,-1.235,0.32851,-0.52599,-2.0101
4.298,-0.8848,1.2677,0.63029,1.7171
1.0163,-2.0519,-0.62175,-0.98574,0.3488
-3.4046,-2.8315,-0.4428,0.275,1.2368
-3.0613,-2.8126,-0.61346,1.4965,0.094787
-3.4706,-1.6228,1.3358,0.93122,0.038827
1.27,3.277,2.1692,2.0116,1.4767
0.17908,3.9058,1.8608,0.85292,1.8041
-1.915,-0.9802,0.63601,4.5179,4.0551
-0.4093,-4.0695,0.22235,1.0695,-0.42705
0.1017,-2.5967,3.3069,-0.30477,1.1062
5.4752,-1.6377,1.0192,2.7308,4.1898
3.5544,2.145,0.95753,-0.031329,1.1334
-0.58442,0.72263,-0.45085,-3.9393,-0.12145
-4.5235,-1.7034,-0.97614,-3.1855,0.54657
-3.6869,0.33664,0.44129,-1.09,3.6306
0.13039,3.3926,-0.3148,1.2497,2.1769
-0.55122,2.6753,1.7532,-0.25099,-4.0779
-1.2333,0.41264,0.014914,-1.1885,-3.695
-2.3847,3.8623,2.0629,1.0957,-1.679
1.0776,2.5951,6.2256,3.6661,0.77612
2.917,-0.022293,0.58671,-0.76617,-0.12776
-0.97633,-2.9686,-3.8781,-2.4864,-2.0092
3.4392,-2.1368,-0.9508,-0.76569,3.4574
5.7646,-0.80684,-0.33475,-1.0848,1.2635
3.2877,-0.64908,0.60304,5.8863,1.6308
1.9926,-0.22151,-3.1929,2.0783,-0.61255
0.69571,-3.1841,-0.86222,-1.1001,-1.8338
0.73653,3.9525,-0.36463,-0.81068,-2.7201
-5.088,-1.5611,-1.7378,-0.29176,-3.8669
-6.7336,-3.0332,0.69501,-0.52594,-2.1171
-2.8101,-2.5675,-1.0312,-1.6537,0.15807
-2.2122,-0.7057,-1.4511,3.2499,2.5978
