ch0,ch1,ch2
0.0257936,-0.0371615,0.0066175
-0.0552765,-0.739333,0.0685693
-1.57514,-0.500282,0.235353
-0.986586,-0.693862,0.193064
-0.522486,-0.771001,-1.38229
-0.699627,-0.692468,-2.02255
-0.0315185,0.0143547,-2.07868
-0.0292105,-0.0027791,-2.4156
1.80209,0.0183014,-1.88847
1.23768,0.597128,-1.49826
0.831278,0.750707,-2.82163
0.750488,0.771527,-3.40967
0.506495,0.638475,-3.45649
0.34195,0.590211,-3.30227
0.230759,0.968564,-2.86387
0.155321,0.708989,-2.55932
0.130307,0.475771,-3.12797
0.141192,0.441189,-2.20945
0.0997294,0.193986,-1.91547
0.662811,0.300385,-1.82025
0.197607,0.431378,-1.53373
0.12336,0.596017,-1.5319
0.139313,-0.327214,-1.38282
-0.0688222,-0.990025,-1.1842
0.336494,-0.518216,-1.24487
0.263236,-0.183775,-1.03689
0.177013,-0.0494626,-1.16134
0.134676,0.323887,-1.62847
0.0706804,0.264281,-1.43853
-0.27771,0.199937,-1.21223
-0.124375,0.0172983,-1.03322
-3.41e-05,-0.42575,-1.0723
0.000126883,-0.502088,-0.973102
8.45e-05,-0.230469,-0.723424
-0.962421,-0.0411666,0.0396433
-0.707445,-0.235229,0.124619
-0.487403,-0.407355,-0.856493
-0.327577,-0.479004,-1.34847
0.0446769,-0.479757,-1.51705
0.0161131,-0.313119,-1.59345
-0.0366114,-0.193224,-1.30996
0.0625634,-0.0137711,-1.01928
0.0420083,0.0127346,-0.793693
-0.228012,0.0234722,-0.677797
0.0270666,-0.0717168,-0.567911
-0.0447909,-0.0362692,-0.639647
-0.0479209,-1.47019,-0.522773
-0.142729,-1.10073,-0.478097
-0.0916821,0.378182,-0.417964
0.0619147,0.184778,-0.460987
0.0364794,0.142731,-0.446943
0.03084,0.106753,-0.285128
0.0103295,0.081221,-0.28079
1.2827,0.0122864,-0.215021
1.20482,0.399545,-0.420877
0.791787,-1.14138,-1.56531
0.548971,-0.253408,-2.38104
0.453405,0.0801443,-2.62024
0.313661,0.154668,-2.5693
0.168049,0.213892,-2.43759
0.112956,0.225192,-2.51032
0.114606,0.190871,-2.12429
0.0860827,0.283416,-1.74756
-0.00482285,0.216762,-4.78944
0.00567317,0.14556,-3.81087
-0.100631,0.0351125,-2.91698
-1.03742,-0.0312479,-2.34644
