ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9
29.9311,23.7247,-11.1954,12.6885,-0.805683,0.615962,0.39639,12.4539,9.21592,-2.28855
12.0966,-25.7624,-2.64283,1.18604,18.4113,-5.62269,4.07448,18.488,18.3083,12.6213
17.7425,-14.5118,6.1882,9.69161,18.9729,0.656396,6.63796,27.447,-1.75162,-11.9676
16.9788,12.5888,11.7417,17.9897,-1.57932,-5.71377,4.28858,18.669,-25.0259,3.30065
20.313,20.8357,-8.82054,12.2769,-4.98732,2.69519,4.4417,14.4691,-22.7351,-4.82587
-4.24765,20.0635,17.3115,17.1595,3.71752,0.382902,8.54861,-3.11914,-24.6758,-4.15093
-9.0432,-2.39347,30.3475,-3.5352,8.51191,5.51544,7.98681,-15.6078,-6.56312,-4.19826
-2.88311,-13.814,4.262,27.8167,-2.86088,11.2033,-1.14719,-13.1302,4.50827,0.702854
-3.27896,-4.93863,-16.3148,1.02925,23.219,-10.5916,5.96925,-7.96706,0.507312,5.45261
-1.59655,4.11575,-12.9588,-14.6997,-6.81052,18.3116,2.54027,-5.90843,3.63523,8.79608
3.21488,4.94851,-9.47283,11.366,-7.98347,8.05817,12.6718,-6.74361,5.0037,14.1449
2.04662,0.400028,-2.98514,13.8803,14.7678,7.30326,5.4166,-7.04828,2.90085,20.2322
5.15679,-3.01204,-0.149873,13.5647,18.0738,-6.3652,8.3982,-3.04422,-2.73288,21.0132
-0.705027,-6.48934,-3.10468,13.097,13.913,-1.94633,18.1999,5.52387,0.624815,21.2745
-4.02539,6.83529,0.241157,9.6596,23.856,12.6023,12.5445,5.16603,5.86191,19.0949
-0.688573,11.153,18.9655,22.3981,12.9066,-11.4498,3.58119,7.67012,14.8314,14.1168
0.351509,10.4995,24.3267,-19.6773,7.5842,-6.64649,-6.26124,5.65374,22.3715,-4.37992
5.61334,17.2661,4.71591,-4.8909,26.2964,5.73343,-12.6273,-3.73406,22.8891,4.98582
15.6813,2.24683,-5.37604,-3.61334,27.5257,-3.14006,4.48663,-13.6463,-4.51073,22.723
18.7576,-2.06823,13.0646,14.1211,23.4871,-5.14767,-10.3638,-2.7755,-13.9342,-6.49605
-10.0097,13.5603,23.4723,-9.91511,-7.39807,-12.8328,-4.68564,0.566434,-9.01285,-11.076
-11.0412,-14.82,12.5703,19.7996,7.36044,-9.338,5.25268,3.25286,-5.5341,2.63899
-9.542,3.49163,-12.181,20.5588,5.68297,-6.2996,4.20943,7.99422,-0.190491,10.534
-0.584909,12.723,14.6926,15.2228,-9.25631,-6.56522,-0.324995,14.4923,9.28922,5.80069
2.67483,16.4537,6.55448,-18.9863,0.0548348,-2.10265,-1.87776,13.8105,12.9581,-7.14508
-6.24702,18.9787,-12.4906,-0.327754,-2.91111,2.07501,2.62618,15.0073,-0.0969726,-12.5486
-9.07984,11.9533,17.5522,0.0427527,0.770798,5.15551,10.0148,9.30311,-9.55486,9.79805
18.9203,11.846,4.89897,-8.96417,5.72202,14.8071,8.43994,-5.90568,-5.4239,10.6582
25.435,-2.88342,-2.43482,-4.3497,-4.35344,18.1772,-1.91154,-5.32874,-3.94398,-1.21261
25.1086,6.19668,-4.203,-0.181995,-5.2989,17.5867,4.95361,-3.8419,1.15785,-2.50048
21.7075,-11.4323,0.862473,4.41193,5.00896,18.1659,-1.29109,-5.74995,3.94055,10.9953
-2.85531,-14.5208,-0.0615609,20.2655,12.3356,-0.232765,-10.256,2.74819,6.65565,15.8078
-13.5906,11.9273,-0.849424,12.5819,7.83931,-17.2373,6.92516,3.98212,9.85966,7.10171
-7.26685,-0.0333048,20.0253,-1.46603,-7.94622,-10.3202,-9.02268,10.4573,8.80465,-9.79756
7.84715,6.10996,20.7115,-1.85862,1.22672,-3.94266,-9.43453,-4.24028,10.8016,-6.63731
13.7435,15.4088,-0.543481,-7.3071,11.2391,0.76321,-3.0512,-7.49286,6.76754,12.2082
9.82571,-15.1199,3.56249,-6.67633,7.46276,6.93234,-5.2105,-2.61149,-1.5091,18.6624
-13.3986,-6.92866,1.35819,11.5342,9.28186,1.44427,-5.66685,3.75623,4.709,18.3888
-15.5097,5.96277,15.7188,12.0488,-0.0811879,-6.74932,-0.757604,3.19515,12.286,2.49785
1.45216,-10.3325,11.7115,8.17457,-12.6638,4.32277,1.66919,5.1161,11.8209,-10.8356
12.3313,11.8013,9.8999,-2.62583,-10.6442,2.47868,15.6234,8.44347,2.08303,-5.3969
7.87993,16.6966,-9.14008,3.018,-4.67444,-7.51963,10.8273,9.88569,-10.6362,-0.970254
11.8007,12.0332,-2.43009,17.0471,-0.248038,-3.63882,6.80337,7.07727,-12.6649,0.9894
9.48086,18.3472,7.66357,14.2154,-3.33821,1.07416,8.36603,1.7109,-12.3557,-4.70637
-5.46223,22.0273,9.49426,-11.4041,-0.763633,1.46339,11.1042,-5.43855,-3.97353,-4.88703
-7.41005,18.3694,-1.38582,-13.9754,-0.0691589,9.51095,9.3377,-5.39193,6.80423,-1.69875
-4.67218,20.6195,-1.74924,-2.41515,-5.58087,4.74908,11.9666,0.981044,12.3176,-1.70701
-7.07908,18.0224,6.76017,-5.05058,-1.63602,1.62909,16.575,11.3285,-0.192297,-6.74305
-4.20699,12.3708,8.19959,-10.9725,4.76879,10.5079,17.4804,-6.35002,-7.21695,4.62646
6.16393,12.9033,-4.39791,-8.82258,-5.2963,16.4607,-2.80588,-14.5643,-1.60217,5.74904
12.8752,2.35432,-10.0027,7.21903,-0.132914,19.6056,-2.15278,-2.83238,-4.35988,0.873318
14.9301,-4.90993,-3.92771,2.26982,16.0878,9.42161,-9.00091,9.95256,2.31386,1.31104
9.39874,-5.4382,4.95539,7.96163,16.4562,-7.75344,-5.04934,6.06823,16.7164,7.74736
-4.64058,-2.62467,3.32346,15.8289,-4.05478,-12.6151,-0.655312,8.11489,21.9555,-0.0686957
9.47205,3.39644,4.66394,14.4725,-9.00605,8.85416,-0.935812,2.74547,22.2394,-1.38564
4.27536,7.92625,10.1329,10.3466,1.9048,14.3774,13.7072,11.1356,21.7565,5.48262
5.34565,15.8855,15.2282,4.0768,7.80812,23.5609,23.0305,-2.05749,3.83171,-0.726884
16.4869,17.7745,-0.81749,-2.46952,8.81199,23.8673,-20.4527,3.4018,4.60508,12.932
-9.4359,-1.37336,-5.90613,-2.84876,7.48765,13.0852,-13.4589,2.30022,35.7419,7.71693
-9.9156,8.27845,0.644839,-0.874347,7.205,4.37423,-24.8445,-23.9223,2.99441,10.6788
10.0407,11.992,3.00906,1.39194,8.89993,-10.8947,-19.5169,10.2686,-14.5795,4.79177
18.5784,3.09702,-4.4529,4.28122,6.95947,-21.2642,-5.79373,-4.93977,-0.376412,6.35251
16.6203,-9.20464,4.63326,6.34297,1.11709,-16.5549,8.59589,7.50519,1.42977,8.66317
3.9046,-7.16191,9.04307,9.87701,-13.7147,-3.33835,-7.97453,9.42668,15.365,9.4079
-0.598157,-4.38334,6.33756,6.81796,-9.4834,12.5927,9.62285,8.58397,19.7318,-4.5996
7.25523,7.40314,7.99556,4.7969,-3.55491,7.15448,27.6809,2.97702,-4.24464,-6.86087
4.73353,15.9277,5.09077,-2.51359,-0.223708,4.44525,27.4182,-0.181646,10.5785,-0.798471
9.60103,15.5319,-6.01396,1.40817,2.15383,9.46158,30.6462,0.881721,0.76255,3.13489
8.54211,-2.15166,-7.71603,4.0711,16.6334,20.8374,1.30979,-13.7714,8.2845,20.6871
-2.18349,-6.96411,-1.06535,-3.44394,18.8199,-5.01055,-19.7219,3.90447,3.76423,22.9289
-1.52625,10.6107,3.98901,0.818109,22.1459,-7.12963,10.6269,-1.82414,1.52405,22.3106
9.67103,-0.713886,5.24121,11.0102,24.2905,7.81311,4.75522,1.38733,5.63147,25.7384
-13.6753,5.44424,7.98024,22.9936,5.7105,-13.8764,8.04843,12.6952,15.4388,16.4851
3.69525,-5.96686,16.0082,2.28674,-21.7259,6.39245,3.01891,17.2114,5.1894,-21.0641
-4.93977,2.05382,15.4384,-16.4622,5.26761,-8.03777,4.24249,11.5933,-21.2454,3.0874
19.4246,5.02991,12.6175,5.10921,18.5686,9.37404,2.36205,5.91399,-10.4763,11.0396
29.4088,13.0102,1.66532,14.6242,13.1845,-5.98903,1.76769,8.2261,-2.78974,2.49912
31.4784,-3.09621,-4.73025,14.5076,6.08075,-12.8338,2.80887,13.617,-0.760159,2.31066
24.544,-8.39338,8.9672,16.0988,-10.5804,-3.85807,-9.19092,10.0198,12.7821,11.2264
