ch0,ch1,ch2
-0.139787,-0.0016091,0.120277
0.0299605,0.0640043,0.0174907
-0.011838,0.0217823,-0.0729068
-0.00860061,0.0154528,-0.33852
-0.347491,0.120988,-0.0199311
0.0626504,0.249095,-0.0319917
-0.0148221,0.863946,-0.263523
-0.0240263,-0.143369,-0.772261
0.0308623,-0.0902819,-0.230872
0.520294,-0.0582199,-0.000664914
-0.108904,-0.268386,0.030128
0.0587565,-0.139553,0.239493
0.593066,0.22417,0.0774447
-0.119119,-0.0911897,-0.0941639
0.392703,0.526965,0.141972
-0.157244,0.197961,-0.220285
0.0334445,0.222231,0.144159
0.211307,0.0145078,-0.0927248
-0.0144979,-0.189913,-0.451183
0.00311062,-0.13243,0.0172732
0.0767323,-0.101205,0.0481584
-0.0109368,-0.278027,0.389174
0.0161123,-0.198224,0.661419
-0.00793632,-0.141974,-0.101193
0.00261102,-0.0976725,0.0439345
0.00298242,-0.0432477,-0.305258
-0.0130066,-0.031918,-0.0259503
-0.912476,-0.0165433,0.0415654
0.195516,4.22055,0.00953428
1.43806,2.90658,0.194915
-2.21615,1.6218,-0.0213446
0.398817,1.55851,-0.147223
-0.0866535,0.944807,-0.6415
0.0205259,0.391435,-0.336502
0.140067,0.26844,-0.391192
0.0832453,0.124667,-0.062284
0.203795,0.029336,-0.263871
0.224535,0.0134123,-0.030453
-0.0764134,1.00839,0.0532526
0.01636,0.735612,-0.283175
-0.0159992,0.511017,-0.331452
0.0117412,0.372809,-0.792981
-0.00782433,0.260173,0.051847
-0.0769718,0.22427,-0.121966
0.72125,0.201029,-0.0191948
-0.154926,-0.159286,-0.359397
0.00714689,0.0855356,0.155468
0.0545729,0.154404,-0.0618172
-0.189221,-0.0497666,-0.0709529
0.027799,0.0930126,0.0344727
-0.0405406,0.0532764,0.00156245
-0.760832,0.0337303,-0.0143246
-1.70999,0.224198,-0.0180726
0.366486,0.572012,-0.239904
-0.106804,-0.114376,-0.459955
-0.00608182,-0.233727,0.0447153
0.046841,-0.167653,0.258185
-0.082698,-0.137371,0.085419
0.503529,-0.0655748,0.0729024
-0.596915,-0.210319,0.0181065
-2.05171,0.197156,0.0526264
0.438588,0.668976,-0.43132
-0.0877259,0.980981,-0.427604
0.475987,0.65552,-0.18778
-0.114056,0.282168,-0.373305
0.0191259,0.823962,-0.548564
-0.00458832,0.845165,-0.397811
1.41315,0.617254,-0.224054
-0.894719,0.017044,-0.133031
0.195688,0.470778,0.183051
-0.0419433,0.186822,-0.316701
-0.079483,0.205211,-0.0352913
0.0114125,0.133357,-0.0966124
-0.00231465,0.361206,-0.106173
-0.0620423,0.256066,-0.149384
0.0132976,0.113706,0.148154
0.0264062,0.121023,-0.0254932
0.0364403,0.024776,0.466629
-0.0179179,0.142007,0.319475
0.00170486,0.257059,0.0118724
-0.000360931,0.18738,0.0601005
0.0611051,-0.0717225,-0.0666739
-0.0126637,0.0472983,0.0362993
0.179266,0.0418058,-0.000568335
-0.0257324,-0.0899312,-0.022797
-0.391785,-0.0438854,0.0861335
0.191042,0.352373,0.0283666
-0.0687931,0.159899,-0.218455
0.0302338,0.177944,-0.0336348
-0.00648011,0.111924,-0.0805393
0.0804788,0.0477166,-0.441869
-0.017239,-0.00417818,-0.0815244
0.00398131,-0.0818163,0.00573131
-0.453063,0.110099,-0.0637561
0.353112,0.298815,-0.107722
-0.0756814,0.0463643,-0.217451
0.0100353,0.0687463,1.42602
0.209728,-0.310416,0.475199
-0.0272693,2.31564,0.351616
0.00722234,1.65451,-0.351108
0.00950425,1.21546,-0.45698
-0.00201351,0.93944,-0.894491
-0.122249,0.658746,-0.447867
-0.180194,0.504019,-0.14413
0.116509,0.490071,-0.247127
0.0924253,0.294264,-0.244763
-0.00403804,0.0756149,-0.828706
0.00381766,-0.341317,-0.122645
0.0906924,-0.594865,-0.587451
0.134531,0.372923,0.139841
-0.0212866,0.0623345,-0.0970169
0.104325,0.185303,1.33206
0.0466081,0.0995836,0.101873
-0.0248941,-0.0584993,0.105032
0.0592977,-0.0297738,0.0882378
-0.118794,-0.0876272,0.040763
-1.12616,-0.0317752,0.0541692
0.272808,0.456628,0.714384
-0.0649564,0.200117,-0.526246
0.744423,0.0585212,0.280859
-0.352255,0.541105,-0.117047
0.158375,0.671464,-0.0498394
-0.0353411,0.528545,-0.333085
0.00956072,0.395982,-0.213311
-0.133537,0.385422,-0.182516
1.41334,0.171612,-1.40757
-0.305117,-0.29927,-0.30958
0.902929,-0.112817,0.282818
-0.193581,-0.560121,0.0600085
-0.139482,-0.531882,0.382209
-0.0226352,-0.309459,0.208988
0.233826,-1.13961,0.121096
-0.0694904,0.303626,0.386132
