ch0,ch1,ch2
-0.09217,-0.00296,-1.10412
-0.0153426,0.000350357,-0.419798
-0.0154275,0.65068,-0.263303
-0.406022,-0.114486,0.156752
-0.241748,0.00130494,0.832404
-0.106313,0.676573,0.671668
-0.0525166,-0.557293,0.618134
-0.178843,0.096139,0.8494
-0.0708352,0.141304,0.38823
-0.0375032,3.42144,1.18358
-0.0121393,-0.630402,4.22927
-0.00274755,0.0865911,2.29221
-0.15626,-0.129278,1.08394
-0.0782562,0.28155,0.560766
-0.0637093,0.209192,0.430477
0.336545,-0.0703353,0.310962
0.215705,0.0127582,0.268861
0.114006,-0.080312,1.21442
-0.0347339,-0.0822765,0.460986
-0.0183401,0.0141335,-0.312842
-0.00928361,-0.0002509,0.210997
-0.181601,-0.0216107,0.0844483
1.00311,0.0351619,0.0472415
0.536254,-0.0714268,-0.0767034
0.768104,0.0122509,-0.714911
0.268123,0.367216,-0.411582
0.57937,-0.0613526,0.555351
0.0541045,0.275033,0.141608
0.000975034,-0.0657527,0.250417
0.0164771,0.831006,0.381302
0.0087189,-0.165812,0.518678
-1.3066,0.0285471,0.606699
-0.825652,0.333336,0.301832
-0.377528,-0.0719704,-1.06109
0.710629,-0.174444,-1.12521
0.45212,0.0866566,-0.628747
0.23683,-0.0102391,-0.579406
0.175693,0.453481,0.0889614
-0.0567897,-0.077976,0.213958
-0.0167534,0.0129143,0.305615
-0.253505,-0.0487339,0.105652
-0.133973,0.709851,0.314615
-0.0710255,-0.327573,0.48956
0.0140661,0.03075,0.362389
0.00465283,0.0151584,0.273413
0.176125,0.230231,-0.773986
0.0923174,-0.0397152,0.564716
0.107327,0.0551986,0.163968
0.105391,-0.00489875,0.112933
-0.568143,0.141572,-0.019258
-0.300248,0.276601,-0.00956309
-0.158671,0.500051,-0.186217
-0.13108,-0.0895932,-0.421596
-0.0686959,0.0140912,-0.418243
-0.344671,0.170047,-0.175106
-0.164947,0.00806226,-0.0355669
-0.0739236,-0.00993821,-0.143101
-0.0363552,-0.0349891,-0.171874
1.49979,0.127556,0.455976
0.796986,-0.0220007,0.275063
0.421223,-0.148552,-0.168595
0.183344,-0.00119951,-0.363791
0.0995172,-0.0404834,-0.373167
-0.0363728,0.0605881,-0.0902751
0.186497,-0.0099614,-0.0670352
0.0713952,0.0102267,-0.0450419
0.038129,0.00503827,0.0947771
0.808309,0.0834495,0.00406839
0.584962,-0.0181462,0.27646
0.31057,0.00326694,-0.67336
0.426892,-0.0969066,-0.692712
0.225588,-0.259987,-0.0848182
0.16951,0.0448483,0.441109
0.0895833,-0.071709,0.646175
-0.0268864,0.0189596,-0.0296984
-0.00624319,-0.232999,-0.141976
0.0783489,-0.000786029,0.439512
0.0372601,-0.0100347,0.29542
-0.112367,-0.0266262,0.087782
-0.0741199,0.266038,0.00212162
-1.38692,-0.0547618,0.111288
-0.7554,-0.0474347,0.123631
-0.523545,0.0730668,-1.09077
0.550505,-0.0140631,-0.971622
0.272907,-1.16863,0.163069
-0.223088,0.354501,0.519501
-0.0518562,0.0126618,0.30726
-0.0279429,0.0377329,0.00377962
-0.0147558,-0.34316,-0.0755078
-0.00712683,-0.380898,0.210866
-0.00284935,0.129625,-3.33961
