ch0,ch1,ch2,ch3
0.03659867,-0.01024462,-0.03292565,-0.01063664
-0.2305227,0.2346398,-0.3620594,1.638097
-0.5826981,-1.064031,0.7933044,-1.246476
1.723875,-0.4012225,-0.2138234,1.0141
1.563684,-0.5559017,-1.710643,-0.4144331
-0.1874385,-0.618466,0.8445948,-1.877536
0.2840655,0.2347188,0.2906158,1.865806
0.4655409,-1.787379,0.8478552,-1.133361
-0.5623942,-0.4548696,-0.0406722,0.8566296
0.5520785,1.971663,-1.222905,-0.4601051
-0.6343754,-2.254039,1.718144,-0.5221119
0.3532382,2.305945,-1.484945,1.78359
-0.06197703,-1.363353,3.576046,-1.710229
0.3298918,-1.058875,-2.678608,2.723605
-0.3824621,-0.5386816,0.4706111,-1.627718
1.68051,0.5123153,-0.1156896,1.981409
-1.173137,-0.7856316,0.7044573,-1.32944
1.389986,-0.5205903,-0.5332732,0.2338322
0.01353011,0.2720724,-0.4291728,-0.2394292
1.1205,-1.129586,-0.3744659,0.1897522
-1.775204,0.07582063,-1.493983,-0.8551733
1.626466,0.9476767,1.223826,-0.8499554
-0.4161005,-1.872633,-0.4875058,1.568381
0.6270012,2.7133,0.05182396,-0.6961498
-0.606196,-1.159015,1.251601,-0.3804668
1.559314,0.3425356,-0.107626,0.8591594
-1.471734,-0.07225598,0.3093558,0.1271393
1.336856,-0.03899002,-0.4198843,-0.4980801
-0.9856826,-0.404722,0.1295063,0.9585889
1.307776,-0.1129742,-0.4767091,-1.121718
-0.1218535,0.6925236,0.7895354,0.008729974
-1.060886,-0.4855055,0.6713293,-0.5526485
-0.5660426,0.5604896,-0.3872253,1.267156
0.2613919,0.4354294,0.6450211,-1.169316
-0.3989904,-0.7195728,-1.990477,0.5263587
0.6276813,0.8676995,0.8511025,-0.3213768
0.190909,-1.599199,0.7260526,0.6771584
-0.9981643,0.6101033,-0.9047054,-0.2563278
0.08948701,-0.2872406,0.8142046,-0.6301001
-0.02948095,-1.340078,-2.670356,0.3872431
2.240332,1.045388,-0.2281244,-0.6484677
-2.615552,-0.6368008,0.01326816,-0.3342556
1.872003,0.8028088,0.2611349,0.6950846
-0.7616328,-0.1817833,-0.1274361,-0.4754678
1.217184,-0.1438031,0.7112799,0.0620706
-0.705184,-0.5163482,-0.4788524,0.4760671
0.3971287,0.2126136,1.766331,-0.6904875
0.01963131,0.3080968,-0.3170432,2.056711
0.1174041,-0.7758716,1.473116,-0.9490523
0.01037284,-0.2529069,-0.4226605,0.8073795
0.6500611,0.7100963,-0.7252688,-0.9446765
-1.123632,-0.4056802,1.832379,-0.1527022
0.6097744,1.344526,-0.423267,1.071473
0.5412359,-0.1478083,1.71826,-0.1667173
-0.2669071,-2.157222,-1.274537,0.9244618
0.06759358,1.162727,-2.589264,0.4094016
-0.6953058,0.1290272,1.252112,-0.779495
0.3058735,-0.004696133,-1.181115,-0.07889867
0.03547139,0.3974483,0.7244385,-0.658274
0.2383976,0.6231832,0.9061903,-0.403336
0.4679935,-0.6259102,1.836905,1.649192
0.1449273,-0.2476155,-0.961451,-0.138999
1.139228,1.844205,-0.01904867,-0.5254972
-1.159782,-1.458298,-0.8905717,-0.06810849
2.479357,2.592537,-0.7338602,-0.277734
-0.7147753,-2.459331,0.9485763,-0.903753
1.177746,0.4444779,-0.5240354,1.025696
-1.987942,-0.6190305,-0.07948213,-0.3846661
2.361929,0.8803383,0.1352263,-0.08387837
-3.400442,0.3561168,-1.466442,-0.02239411
2.291033,0.4482215,0.6030465,-0.2093021
-4.500298,-1.299891,0.3570799,-0.3859866
2.886318,1.579017,-1.930361,0.1255899
-1.573405,-2.366819,1.28484,-1.017334
1.062315,3.054191,-0.8783532,1.293017
-1.150024,-2.183271,0.4590713,-1.928056
0.5337386,1.362773,-0.02416208,1.740488
-2.345737,-0.8272652,0.2215741,-1.5622
1.726238,1.242108,-0.4925639,0.3751429
-1.658182,-2.232744,0.2946395,-0.9628189
1.742155,1.921549,-1.42504,2.104086
0.2003822,-1.643492,1.469559,-2.017117
1.142901,1.696467,-2.530289,1.575498
-1.740392,-1.224847,0.8754615,-1.489308
0.504607,1.323291,-0.5101685,2.056154
-0.2695553,-0.7744499,0.4247482,-1.187598
0.9313901,0.1297093,-0.3803625,1.090487
-0.9843612,0.3089291,-0.6484947,-0.2572479
0.5075388,0.6911715,-0.8754282,0.1512421
-0.2380552,0.7599928,0.8966439,-1.398358
-0.1222392,-0.9807011,0.2543262,1.469272
0.04513796,1.394599,-1.350412,-0.5195859
-0.1036564,-1.018092,0.7600767,-0.7685829
-0.02679955,-0.1955,-0.2210356,0.2901914
-0.07572656,1.255572,0.1427423,0.1705497
0.3479207,-1.192642,0.06280248,0.4414633
-0.7768448,-0.153923,-0.870066,-0.2307494
-1.37586,-0.6193845,-0.6965136,-0.6800191
0.5496829,0.04262384,0.2911104,0.3408069
0.3688869,0.7996535,0.3171447,-0.2921678
-0.3153257,-0.4858921,1.322547,1.102164
-0.7552668,1.455271,0.4379495,-0.1936084
0.721544,-1.659433,0.520066,-0.4185612
0.2598382,0.4376027,-1.111895,0.7273217
-1.476606,0.4590156,-1.067416,-1.652907
-0.224342,0.4245522,0.2289862,-0.3382499
-0.6690044,-0.06359652,-0.3667122,-1.038446
-0.4194507,0.213497,0.0284653,0.7690498
1.782595,-0.02698126,0.1144625,-0.92403
-2.008439,0.1732687,-0.871369,0.7740134
2.087717,1.936568,1.447477,-0.6185106
-0.7256109,0.4488262,-0.5524738,-0.04168037
1.108558,0.2127563,-0.1116367,-0.07911878
-0.4218536,-0.2609413,-1.03563,-0.1442507
-0.2807154,0.8027833,1.167538,-0.04995586
-0.1808934,0.2991314,0.8756127,-0.2243512
-0.756375,1.120591,0.3885642,0.2911087
-0.1838947,0.8796037,-0.754182,-0.2892402
-0.6954677,-0.5297159,1.227246,0.3834617
0.4997179,-0.4297779,-0.5724525,1.153404
-0.7820003,0.6752387,0.1737663,-1.843839
